frame_id,timestamp,diameter_mm,diameter,confidence,is_bad_data
0,0.0,5.933333333333334,178.0,1.0,False
1,0.03333333333333144,6.033333333333328,180.99999999999983,1.0,False
2,0.06666666666666288,6.016666666666668,180.50000000000006,0.9166666865348909,True
3,0.09999999999999432,6.000000000000003,180.00000000000009,0.9999999999999858,False
4,0.13333333333332575,6.099999999999977,182.99999999999932,1.0,False
5,0.1666666666666572,5.950000000000042,178.50000000000125,1.0,False
6,0.19999999999998863,5.933333333333339,178.00000000000017,1.0,False
7,0.23333333333332007,5.999999999999973,179.9999999999992,0.9166666865349147,True
8,0.2666666666666515,6.033333333333318,180.99999999999955,0.9999999999999623,False
9,0.29999999999998295,6.0666666666666496,181.9999999999995,1.0,False
10,0.3333333333333144,6.033333333333353,181.00000000000057,0.750000000000142,True
11,0.3666666666666458,6.033333333333333,181.0,0.9999999999998443,True
12,0.39999999999997726,5.983333333333368,179.50000000000105,1.0,False
13,0.4333333333333087,5.999999999999988,179.99999999999963,1.0,False
14,0.46666666666664014,5.958333333333367,178.750000000001,0.7222222089769668,True
15,0.4999999999999716,5.950000000000007,178.50000000000023,0.9999999999997631,False
16,0.533333333333303,5.95,178.5,1.0,False
17,0.5666666666666345,5.900000000000048,177.00000000000145,1.0,False
18,0.5999999999999659,5.733333333333503,172.0000000000051,1.0,False
19,0.6333333333332973,5.700000000000035,171.00000000000105,1.0,False
20,0.6666666666666288,5.666666666666704,170.00000000000114,1.0,False
21,0.6999999999999602,5.666666666666666,169.99999999999997,1.0,False
22,0.7333333333332916,5.583333333333438,167.50000000000313,1.0,False
23,0.7666666666666231,5.550000000000043,166.5000000000013,1.0,False
24,0.7999999999999545,5.550000000000001,166.50000000000003,1.0,False
25,0.833333333333286,5.583333333333286,167.49999999999858,1.0,False
26,0.8666666666666174,5.550000000000049,166.50000000000145,1.0,False
27,0.8999999999999488,5.599999999999923,167.9999999999977,1.0,False
28,0.9333333333332803,5.6333333333332805,168.9999999999984,1.0,False
29,0.9666666666666117,5.649999999999972,169.49999999999915,1.0,True
30,0.9999999999999432,5.683333333333277,170.4999999999983,1.0,False
31,1.0333333333332746,5.666666666666696,170.00000000000088,1.0,False
32,1.066666666666606,5.633333333333394,169.00000000000182,1.0,False
33,1.0999999999999375,5.71666666666651,171.49999999999528,1.0,False
34,1.133333333333269,5.7333333333333005,171.999999999999,1.0,False
35,1.1666666666666003,5.7666666666666,172.999999999998,1.0,False
36,1.1999999999999318,5.733333333333402,172.00000000000205,1.0,False
37,1.2333333333332632,5.733333333333333,172.0,1.0,False
38,1.2666666666665947,5.7499999999999645,172.49999999999892,1.0,False
39,1.299999999999926,5.816666666666519,174.49999999999557,1.0,False
40,1.3333333333332575,5.76666666666678,173.0000000000034,1.0,False
41,1.366666666666589,5.81666666666655,174.4999999999965,1.0,False
42,1.3999999999999204,5.80000000000004,174.0000000000012,1.0,False
43,1.4333333333332519,5.766666666666748,173.00000000000244,1.0,False
44,1.4666666666665833,5.799999999999917,173.99999999999753,1.0,False
45,1.4999999999999147,5.766666666666752,173.00000000000256,1.0,False
46,1.5333333333332462,5.849999999999783,175.4999999999935,1.0,False
47,1.5666666666665776,5.8500000000000005,175.50000000000003,1.0,False
48,1.599999999999909,5.8000000000001375,174.00000000000412,1.0,False
49,1.6333333333332405,5.866666666666481,175.99999999999443,1.0,False
50,1.666666666666572,5.8166666666668085,174.50000000000426,1.0,False
51,1.6999999999999034,5.816666666666666,174.5,1.0,False
52,1.7333333333332348,5.899999999999753,176.9999999999926,1.0,False
53,1.7666666666665662,5.783333333333685,173.50000000001054,1.0,False
54,1.7999999999998977,5.833333333333179,174.9999999999954,1.0,False
55,1.8333333333332291,5.816666666666719,174.50000000000156,1.0,False
56,1.8666666666665606,5.849999999999894,175.49999999999682,1.0,False
57,1.899999999999892,5.816666666666775,174.50000000000324,1.0,False
58,1.9333333333332234,5.84999999999989,175.4999999999967,1.0,False
59,1.9666666666665549,5.816666666666778,174.50000000000335,1.0,False
60,1.9999999999998863,5.833333333333276,174.9999999999983,1.0,False
61,2.0333333333332178,5.849999999999943,175.4999999999983,1.0,False
62,2.066666666666549,5.816666666666784,174.50000000000352,1.0,False
63,2.0999999999998806,5.800000000000059,174.0000000000018,1.0,False
64,2.133333333333212,5.866666666666424,175.99999999999272,1.0,False
65,2.1666666666665435,5.899999999999877,176.9999999999963,1.0,False
66,2.199999999999875,5.924999999999906,177.74999999999716,1.0,True
67,2.2333333333332064,5.850000000000286,175.50000000000858,1.0,False
68,2.266666666666538,5.866666666666602,175.99999999999807,1.0,False
69,2.2999999999998693,5.850000000000065,175.50000000000196,1.0,False
70,2.3333333333332007,5.85,175.5,1.0,False
71,2.366666666666532,5.899999999999798,176.99999999999395,1.0,False
72,2.3999999999998636,5.833333333333606,175.00000000000819,1.0,False
73,2.433333333333195,5.816666666666736,174.50000000000207,1.0,False
74,2.4666666666665265,5.8249999999999655,174.74999999999898,1.0,True
75,2.499999999999858,5.849999999999893,175.4999999999968,1.0,False
76,2.5333333333331893,5.883333333333189,176.49999999999568,0.8888888955121068,True
77,2.5666666666665208,5.86666666666674,176.0000000000022,0.9999999999995145,False
78,2.599999999999852,5.800000000000296,174.00000000000887,1.0,False
79,2.6333333333331836,5.716666666667042,171.50000000001125,1.0,False
80,2.666666666666515,5.700000000000076,171.00000000000227,1.0,False
81,2.6999999999998465,5.616666666667051,168.50000000001154,1.0,False
