frame_id,timestamp,diameter,confidence,is_bad_data,diameter_mm
0,0.0,180.75,1.0,False,6.025
1,0.0333333333333333,183.25,1.0,False,6.108333333333333
2,0.0666666666666666,182.75,0.9791666716337204,True,6.091666666666667
3,0.1,182.25,1.0,False,6.075
4,0.1333333333333333,183.25,1.0,False,6.108333333333333
5,0.1666666666666666,182.0,1.0,False,6.066666666666666
6,0.2,180.5,1.0,False,6.016666666666667
7,0.2333333333333333,181.375,0.9791666716337204,True,6.045833333333333
8,0.2666666666666666,182.25,1.0,False,6.075
9,0.3,182.5,1.0,False,6.083333333333333
10,0.3333333333333333,182.4375,0.9375,True,6.081250000000001
11,0.3666666666666666,182.375,1.0,True,6.0791666666666675
12,0.4,182.31250000000003,1.0,True,6.077083333333333
13,0.4333333333333333,182.25000000000003,1.0,False,6.075000000000001
14,0.4666666666666667,182.33333333333337,1.0,False,6.077777777777778
15,0.5,181.5,1.0,False,6.05
16,0.5333333333333333,181.0,1.0,False,6.033333333333333
17,0.5666666666666667,210.25,1.0,False,7.008333333333333
18,0.6,192.25,1.0,True,6.408333333333333
19,0.6333333333333333,174.25,1.0,False,5.808333333333334
20,0.6666666666666666,172.75,1.0,False,5.758333333333333
21,0.7,173.74999999999997,1.0,False,5.791666666666666
22,0.7333333333333333,171.5,1.0,False,5.716666666666667
23,0.7666666666666666,173.00000000000003,1.0,False,5.7666666666666675
24,0.8,171.25000000000003,1.0,False,5.708333333333334
25,0.8333333333333334,172.0,1.0,False,5.733333333333333
26,0.8666666666666667,171.99999999999997,1.0,False,5.7333333333333325
27,0.9,172.25,1.0,False,5.741666666666666
28,0.9333333333333332,172.25,1.0,True,5.741666666666667
29,0.9666666666666668,172.25,1.0,False,5.741666666666667
30,1.0,173.25,1.0,False,5.775
31,1.0333333333333332,173.24999999999997,1.0,False,5.7749999999999995
32,1.0666666666666669,173.74999999999997,1.0,False,5.791666666666666
33,1.1,177.0,1.0,False,5.9
34,1.1333333333333333,176.83333333333334,0.9375,True,5.894444444444445
35,1.1666666666666667,176.66666666666669,1.0,False,5.888888888888889
36,1.2,176.0,1.0,False,5.866666666666667
37,1.2333333333333334,179.49999999999997,1.0,False,5.9833333333333325
38,1.2666666666666666,178.625,1.0,True,5.954166666666667
39,1.3,177.75000000000003,1.0,False,5.925000000000001
40,1.3333333333333333,176.25,1.0,False,5.875
41,1.3666666666666667,180.00000000000003,1.0,False,6.000000000000001
42,1.4,179.0,1.0,False,5.966666666666667
43,1.4333333333333331,179.0,1.0,True,5.966666666666667
44,1.4666666666666666,179.0,0.9861111044883728,True,5.966666666666667
45,1.5,179.0,1.0,True,5.966666666666667
46,1.5333333333333332,179.0,1.0,False,5.966666666666667
47,1.5666666666666669,178.25,1.0,False,5.941666666666666
48,1.6,176.99999999999997,1.0,False,5.8999999999999995
49,1.6333333333333333,177.75,1.0,True,5.925
50,1.6666666666666667,178.5,1.0,False,5.95
51,1.7,178.25000000000003,1.0,False,5.941666666666667
52,1.7333333333333334,179.75,1.0,False,5.991666666666667
53,1.7666666666666666,179.00000000000003,1.0,False,5.966666666666668
54,1.8,178.5,1.0,True,5.95
55,1.8333333333333333,177.99999999999997,1.0,False,5.933333333333333
56,1.8666666666666667,178.125,1.0,True,5.9375
57,1.9,178.25,1.0,False,5.941666666666666
58,1.9333333333333331,178.75000000000003,1.0,False,5.958333333333334
59,1.9666666666666663,178.49999999999997,1.0,False,5.949999999999999
60,2.0,179.0,1.0,False,5.966666666666667
61,2.033333333333333,177.5,1.0,False,5.916666666666667
62,2.0666666666666664,177.5,0.9930555522441864,True,5.916666666666667
63,2.1,177.5,1.0,False,5.916666666666667
